News_headlines,Link
New images of the universe as Chandra observatory celebrates anniversary,https://www.cnn.com/2019/07/24/world/chandra-observatory-new-images-scn-trnd/index.html
In pictures: Record-breaking heat wave in Europe,https://www.cnn.com/2019/07/25/europe/gallery/europe-heat-wave/index.html
Apollo 11 astronauts receive a buttery tribute ,https://www.cnn.com/videos/travel/2019/07/25/butter-sculpture-honors-apollo11-travl-orig.cnn
Watch SpaceX's scrapped Starship test,https://www.cnn.com/2019/07/25/tech/spacex-starship-test/index.html
Apollo 11 astronauts receive a buttery tribute at the Ohio State Fair  ,https://www.cnn.com/travel/article/butter-sculpture-honors-apollo-11/index.html
8 popular weighted blankets you can buy on Amazon,https://www.cnn.com/2018/05/02/cnn-underscored/weighted-blanket-shop/index.html
Is the future of space travel just for super rich people?,https://www.cnn.com/2019/07/25/tech/future-space-travel-cheap/index.html
China trabaja en una carrera contra EE.UU. para convertirse en una potencia espacial,https://www.cnn.com/videos/spanish/2019/07/25/china-se-quiere-convertir-en-una-potencia-lider-espacial-carrera-espacial-pkg-matt-rivers.cnn
'The Rock' lends support to protesters in Hawaii,https://www.cnn.com/videos/us/2019/07/25/the-rock-hawaii-protest-meade-sot-mxp-vpx.hln
College student unearths 65 million-year-old Triceratops skull ,https://www.cnn.com/2019/07/24/us/triceratops-skull-discovery-trnd/index.html
"SpaceX llevará al espacio el ""slime"" de Nickelodeon y un balón de Adidas",https://www.cnn.com/videos/spanish/2019/07/24/space-x-nickelodeon-slime-adidas-soccer-ball-portafolio-global-cnnee.cnn
SpaceX will launch Nickelodeon slime and an Adidas soccer ball into space,https://www.cnn.com/2019/07/23/tech/spacex-nickelodeon-slime/index.html
EA Sports vs. Konami: La disputa que dejó al FIFA 20 sin la Juventus,https://www.cnn.com/videos/spanish/2019/07/24/fifa-20-fifa-2020-ea-sports-konami-juventus-esports-pes-egames-videojuegos-deportes-cnne-pkg.cnn
Watch: NASA shows rise in near-Earth asteroids,https://www.cnn.com/videos/us/2018/07/25/rise-in-near-earth-asteroids-orig-mz.cnn
Fireball spotted in the skies over Ontario and Quebec could have dropped meteorites,https://www.cnn.com/2019/07/24/world/ontario-fireball-meteorites-scn-trnd/index.html
These two dead stars zip around each other every seven minutes,https://www.cnn.com/2019/07/24/world/binary-stars-gravitational-waves-trnd-scn/index.html
Apollo moon landing math is why your flight lands on time,https://www.cnn.com/2019/07/24/world/apollo-moon-math-airplanes-scn-trnd/index.html
Europe sweats as another record-breaking heat wave rolls in,https://www.cnn.com/2019/07/24/europe/europe-heatwave-gbr-intl/index.html
"A hot bath 1 or 2 hours before bedtime can significantly improve your sleep, researchers say",https://www.cnn.com/2019/07/24/health/hot-baths-improve-sleep-trnd/index.html
"NASA details Artemis moon missions, named after Apollo's twin sister",https://www.cnn.com/2019/07/24/us/nasa-artemis-program-scn/index.html
Stunning spiral galaxy spotted by Hubble more than 70 million light years away from our solar system,https://www.cnn.com/2019/07/24/world/spiral-galaxy-hubble-scn-trnd/index.html
"The Milky Way gobbled up another galaxy billions of years ago, study says",https://www.cnn.com/2019/07/23/world/milky-way-dwarf-galaxy-scn-trnd/index.html
How the Milky Way likely grew to its massive size,https://www.cnn.com/videos/us/2019/07/24/milky-way-dwarf-galaxy-scn-newsource-orig.cnn
NASA tracked three large asteroids zipping by today -- and one was closer than the moon,https://www.cnn.com/2019/07/24/world/nasa-asteroid-flyby-moon-scn-trnd/index.html
Why Dubai wants to become a 3D printed city,https://www.cnn.com/style/article/dubai-3d-printed-buildings-intl/index.html
"'Unprecedented' wildfires ravage the Arctic
",https://www.cnn.com/2019/07/24/world/wildfires-arctic-climate-sci-intl/index.html
A judge sided with scientists trying to build a telescope on Mauna Kea,https://www.cnn.com/2019/07/24/us/mauna-kea/index.html
3D printed buildings around the world,https://www.cnn.com/style/gallery/3d-printed-buildings/index.html
Afghanistan asks for explanation after Trump claims US could wipe it 'off the face of the Earth',https://www.cnn.com/2019/07/23/politics/afghanistan-pushback-trump-comments/index.html
Trump made 61 false claims last week,https://www.cnn.com/2019/07/23/politics/weekly-trump-fact-check-july-2019-61-false/index.html
Evidence of ancient meteorites found in Florida fossil clams,https://www.cnn.com/2019/07/23/world/fossil-clams-glass-beads-meteorite-scn-trnd/index.html
Ancient finds,https://www.cnn.com/2017/02/03/health/gallery/ancient-finds/index.html
"She endured obscene phone calls, had to use men's bathrooms, as one of NASA's first female engineers",https://www.cnn.com/2019/06/20/us/apollo-11-joann-morgan-only-woman-scn/index.html
Crypto entrepreneur postpones $4.6 million lunch with Warren Buffett,https://www.cnn.com/2019/07/23/business/warren-buffett-lunch-justin-sun/index.html
"Chris Kraft, NASA's first flight director, dies at 95",https://www.cnn.com/2019/07/22/us/christopher-kraft-nasa-first-flight-director-obit-trnd/index.html
500-year-old shipwreck discovered using robotic cameras,https://www.cnn.com/videos/business/2019/07/22/500-year-old-shipwreck-robotic-cameras-kc-orig.cnn
ICE ramps up DNA testing for migrant families along the southern border,https://www.cnn.com/2019/07/22/politics/ice-deploys-dna-testing-at-border/index.html
Space needs to be regulated before humans ruin it,https://www.cnn.com/2019/07/22/perspectives/space-low-earth-orbit-satellites/index.html
oyota presenta robots que estarán en Juegos Olímpicos de Tokio 2020,https://www.cnn.com/videos/spanish/2019/07/22/toyota-robots-juegos-olimpicos-tokio-vo-portafolio-cnnee.cnn
'We did the impossible': What it was like inside Apollo 11's Mission Control ,https://www.cnn.com/2019/07/19/us/apollo-11-space-mission-control-teams-scn/index.html
Scientists memorialize the first glacier lost to climate change in Iceland,https://www.cnn.com/2019/07/22/world/iceland-glacier-climage-change-trnd/index.html
Chandrayaan-2: Success in India's second attempt at launching moon mission,https://www.cnn.com/2019/07/22/asia/india-space-ambitions-moon-launch-intl-hnk/index.html
India's second attempt at launching Moon mission succeeds,https://www.cnn.com/videos/world/2019/07/22/india-rocket-launch-chandrayaan-space-rover-moon.cnn
Scientists discovered a new species of tiny sharks that glow in the dark ,https://www.cnn.com/2019/07/21/us/new-shark-species-bioluminescent-trnd/index.html
Astronaut: Apollo 11 kicked open a door in my life,https://www.cnn.com/videos/world/2019/07/21/astronaut-chris-hadfield-apollo-11-anniversary-vpx.cnn
Un legado de desarrollo tecnológico 50 años después de la misión Apollo,https://www.cnn.com/videos/spanish/2019/07/21/legado-desarrollo-tecnologico-apollo-50-aniversario-sot-mirador-rafael-romo-cnnee.cnn
Moon landing laid the groundwork for future Mars landing,https://www.cnn.com/videos/us/2019/07/20/mars-mission-moon-landing-apollo-11-nasa-vercammen-pkg-nr-vpx.cnn
3 original NASA moon landing videos sell for $1.82 million at auction,https://www.cnn.com/2019/07/20/us/moon-walk-video-auction-sothebys/index.html
How do conspiracies continue decades later?,https://www.cnn.com/videos/us/2019/07/20/moon-landing-conspiracy-theories-smerconish-sot-vpx.cnn
Expedition 60 crew launches to space station on Apollo 11 anniversary,https://www.cnn.com/2019/07/20/world/astronauts-space-station-launch-apollo-anniversary-scn-trnd/index.html
Remembering Walter Cronkite's words on the day of the Apollo 11 moon landing,https://www.cnn.com/2019/07/20/media/apollo-11-cbs-walter-cronkite-anniversary/index.html
Moon landing conspiracies persist decades after Apollo 11,https://www.cnn.com/videos/tv/2019/07/20/moon-landing-conspiracies-persist-decades-after-apollo-11.cnn
Heat dome causing blistering temperatures in US,https://www.cnn.com/videos/weather/2019/07/20/high-temperatures-late-july-heat-dome-chinchar-sot-ndwknd-vpx.cnn
Pierre Cardin: The 97-year-old fashion designer with visions for 2069 ,https://www.cnn.com/style/article/pierre-cardin-future-fashion/index.html
11 things to know about the historic Apollo 11 mission,https://www.cnn.com/2019/07/20/us/apollo-11-moon-mission-landing-anniversary-scn/index.html
Israeli archaeologists find ancient mosque in Negev desert,https://www.cnn.com/travel/article/ancient-mosque-israel-intl-scli/index.html
"50 years after US moon landing, China is catching up in the space race",https://www.cnn.com/2019/07/19/asia/china-apollo-us-space-race-intl-hnk/index.html
Conoce los secretos del Apollo 11 en el Centro Espacial en Houston,https://www.cnn.com/videos/spanish/2019/07/19/mision-apolo-11-luna-houston-museo-nasa-modulo-lunar-sin-manija-ana-maria-mejia-sot.cnn
See the moon landing as they did 50 years ago,https://www.cnn.com/videos/us/2019/07/18/apollo-11-moon-landing-scn-orig.cnn
Google unveils stunning tribute for Apollo 11 engineer,https://www.cnn.com/videos/us/2019/07/19/google-apollo-11-engineer-tribute-scn-orig-mg.cnn
Así lucía la sala de control que dirigió al Apollo 11 hacia la Luna,https://www.cnn.com/videos/spanish/2019/07/19/sala-control-apollo-11-luna-restaurada-lkl-digital-ana-maria-mejia-centro-espacial-johnson-houston.cnn
107.000 espejos reflejan la luz de la Luna en homenaje a Margaret Hamilton,https://www.cnn.com/videos/spanish/2019/07/19/margaret-hamilton-homanje-google-software-mision-luna-nasa-apollo-espejos-encuentro-cnne-vo.cnn
La misión Apollo inspiró al astronauta mexicano José Hernández,https://www.cnn.com/videos/spanish/2019/07/19/astronauta-mexicano-jose-hernandez-llegada-hombre-luna-apollo-nasa-encuentro-cnne-entrevista.cnn
"Exercise in space keeps astronauts from fainting when they return to Earth, study says",https://www.cnn.com/2019/07/19/health/astronaut-exercise-iv-faint-scn/index.html
"Her software put men on the moon. Fifty years later, Margaret Hamilton got a glowing moonlit tribute ",https://www.cnn.com/2019/07/19/us/apollo-11-margaret-hamilton-50th-anniversary-trnd/index.html
Floating food: The history of eating in space,https://www.cnn.com/2019/07/19/world/apollo-space-food-history-scn/index.html
What we know about Area 51,https://www.cnn.com/videos/us/2019/07/18/what-we-know-area-51-kc-orig.cnn
The men and women behind the moon landing,https://www.cnn.com/videos/tv/2019/07/18/amanpour-moon-landing-anniversary-apollo-charles-fishman.cnn
Apollo 11 astronaut: We didn't think about death,https://www.cnn.com/videos/tv/2019/07/18/amanpour-moon-landing-apollo-astronaut-michael-collins.cnn
How space influenced decades of pop culture,https://www.cnn.com/videos/entertainment/2019/05/07/space-moon-pop-culture-scn-orig.cnn
Google celebrates 50 years since the moon landing with an out-of-this-world Doodle,https://www.cnn.com/2019/07/19/us/google-doodle-moon-landing-apollo-11-50th-anniversary-trnd/index.html
Heat dome traps summer heat wave through the weekend,https://www.cnn.com/videos/weather/2019/07/18/daily-weather-forecast-heat-dome-continues-extreme-temperatures.cnn
"An antioxidant in red wine might power astronauts on Mars, study says",https://www.cnn.com/2019/07/18/health/resveratrol-mars-astronauts-scn-trnd/index.html
China is setting the stage for next space race,https://www.cnn.com/videos/world/2019/07/19/china-space-program-rivers-pkg-vpx.cnn
Massive heat wave continues through weekend,https://www.cnn.com/videos/weather/2019/07/19/daily-weather-forecast-weekend-heat-wave-dome-extreme-temperatures.cnn
China's Tiangong-2 space lab to fall to Earth in controlled demolition,https://www.cnn.com/2019/07/19/asia/china-tiangong-2-space-lab-intl-hnk/index.html
La importancia de la mujer en la Luna,https://www.cnn.com/videos/spanish/2019/07/19/mujer-luna-mision-apollo-11-luna-marte-celebracion.cnn
"El planeta Tierra, ¿nuevo parque nacional?",https://www.cnn.com/videos/spanish/2019/07/19/planeta-tierra-marte-celebracion-apollo-11-camilo-sot.cnn
