News_headlines,Link
Grumman X-29: The impossible fighter jet with inverted wings,https://www.cnn.com/style/article/grumman-x-29-nasa-darpa-fighter-plane/index.html
NASA leadership shakeup comes as space agency pushes to meet Trump's moon mission deadline,https://www.cnn.com/2019/07/12/politics/nasa-leadership-role-shakeup/index.html
Astronomers make the first observations of a 'moon-forming' disk around a distant planet,https://www.cnn.com/2019/07/12/world/exoplanet-pds70c-moon-disk-scn-trnd/index.html
EPA scientist confronts administrator over climate crisis at award ceremony,https://www.cnn.com/2019/07/12/politics/epa-wheeler-employee-protest-climate-crisis/index.html
This 'shovel-chinned eagle nose' dinosaur lived in Texas 80 million years ago,https://www.cnn.com/2019/07/12/world/new-duck-billed-dinosaur-scn-trnd/index.html
Scientists in Switzerland discover a new dinosaur species,https://www.cnn.com/2019/07/12/europe/new-dinosaur-species-switzerland-scn-trnd/index.html
Dark skies: 23 best places in the world to stargaze,https://www.cnn.com/travel/article/dark-sky-parks-and-reserves/index.html
Barry slightly strengthens as it crawls toward Louisiana,https://www.cnn.com/videos/weather/2019/07/12/daily-weather-forecast-tropical-storm-hurricane-barry-flooding-storm-surge.cnn
"#MinutoCNN: El ""abominable"" asesinato de una niña colombiana",https://www.cnn.com/videos/spanish/2019/07/11/asesinato-nina-colombia-guaviare-bebidas-azucaradas-cancer-amazon-david-ortiz-cirugia-apollo-11-minuto-cnn-pkg-orig.cnn
Earthquakes Fast Facts,https://www.cnn.com/2013/07/05/world/earthquakes-fast-facts/index.html
"Virgin Orbit 'drop tests' a rocket from a 747 aircraft 35,000 feet in the sky",https://www.cnn.com/2019/07/10/tech/virgin-orbit-drop-test/index.html
#ElDatoDeHoy: desaparece isla que nació después del terremoto de Pakistán en 2013,https://www.cnn.com/videos/spanish/2019/07/11/dato-isla-terremoso-pakistan-desaparecio-nasa-volcan-encuentro.cnn
Scientists noticed an error in the new season of 'Stranger Things',https://www.cnn.com/2019/07/11/world/stranger-things-season-three-plancks-constant-scn-trnd/index.html
Hubble spies something mysterious around a supermassive black hole,https://www.cnn.com/2019/07/11/world/hubble-black-hole-disc-scn-trnd/index.html
19 best places to travel for the summer of 2019,https://www.cnn.com/travel/article/summer-travel-places-2019/index.html
Flight crew breaks record for circumnavigating globe via both poles,https://www.cnn.com/travel/article/speed-record-circumnavigate-intl-scli/index.html
CNN Heroes: 'Bunks Across America',https://www.cnn.com/videos/us/2019/07/11/cnnheroes-mickelson-upd-mixed.cnn
The body of US scientist Suzanne Eaton was found in a former Nazi bunker in Greece,https://www.cnn.com/2019/07/11/europe/american-scientist-suzanne-eaton-greece-intl/index.html
"7 dead whales were found in Alaska over the weekend, and experts blame the climate crisis",https://www.cnn.com/2019/07/11/us/alaska-dead-gray-whales-trnd/index.html
Trapped in place: A weird ancient bird foot in amber and the lizard in a Microraptor's stomach,https://www.cnn.com/2019/07/11/world/ancient-bird-foot-lizard-microraptor-scn/index.html
Japan lands spacecraft on distant asteroid to collect samples,https://www.cnn.com/2019/07/11/asia/japan-hayabusa-2-asteroid-intl-hnk/index.html
Her work will send a crew to the moon and back,https://www.cnn.com/videos/us/2019/07/10/nujoud-merancy-women-of-space-scn.cnn
Meet NASA's first female flight director,https://www.cnn.com/videos/us/2019/07/10/holly-ridings-women-of-space-scn.cnn
Police: Body of US scientist found in Crete,https://www.cnn.com/videos/world/2019/07/11/american-scientist-suzanne-eaton-crete-greece-damon-dnt-newday-vpx.cnn
Apollo 11 flight manual expected to sell for millions at moon landing anniversary auction,https://www.cnn.com/style/article/moon-landing-apollo-11-auction/index.html
